object;tag
6681;Osw_liczba_sum
6683;Osw_liczba_sum
665;Satel
664;Satel
666;Satel
668;Satel
667;Satel
669;Satel
670;Satel
671;Satel
672;Satel
673;Satel
674;Satel
675;Satel
676;Satel
677;Satel
678;Satel
679;Satel
6161;Parter_status
3163;Satel
3164;Satel
3165;Satel
3166;Satel
3167;Satel
3168;Satel
3169;Satel
3170;Satel
3171;Satel
3172;Satel
562;Satel
561;Satel
564;Satel
565;Satel
569;Satel
572;Satel
3236;Pogoda
3235;Pogoda
528;Satel
528;Obecnosc
529;Satel
529;Obecnosc
530;Satel
530;Obecnosc
531;Satel
531;Obecnosc
532;Satel
532;Obecnosc
533;Satel
533;Obecnosc
534;Satel
534;Obecnosc
535;Satel
535;Obecnosc
542;Satel
542;Obecnosc
543;Satel
543;Obecnosc
544;Satel
544;Obecnosc
545;Satel
545;Obecnosc
546;Satel
546;Obecnosc
547;Satel
547;Obecnosc
548;Satel
548;Obecnosc
549;Satel
549;Obecnosc
550;Satel
550;Obecnosc
551;Satel
551;Obecnosc
552;Satel
552;Obecnosc
553;Satel
553;Obecnosc
554;Satel
554;Obecnosc
560;Satel
560;Obecnosc
3452;Satel
6163;R0.7_pwr
6163;Parter_status
3400;Obecnosc
512;Satel
512;Obecnosc
611;Satel
611;Ogrod
612;Satel
612;Ogrod
613;Satel
613;Ogrod
614;Satel
614;Ogrod
608;Satel
608;Obecnosc
608;Ogrod
3368;Obecnosc
1;Obecnosc
3436;Obecnosc
3154;Winda_monitor
3153;Winda_monitor
762;Satel
762;Winda_monitor
3073;Winda_monitor
3148;Winda_monitor
3587;hvac
2899;hvac
2817;hvac
2820;hvac
2826;hvac
2829;hvac
2832;hvac
2835;hvac
2838;hvac
2841;hvac
2847;hvac
2850;hvac
2853;hvac
3584;hvac
3586;hvac
3589;hvac
3591;hvac
3594;hvac
3595;hvac
3597;hvac
3600;hvac
2823;hvac
8961;hvac
8981;hvac
9001;hvac
9021;hvac
9217;hvac
9237;hvac
9357;hvac
9377;hvac
9297;hvac
9317;hvac
8213;Wizualizacja
8213;hvac
8215;Wizualizacja
8215;hvac
8214;Wizualizacja
8214;hvac
8203;Wizualizacja
8203;hvac
8204;Wizualizacja
8204;hvac
8205;Wizualizacja
8205;hvac
3599;hvac
3059;hvac
9041;hvac
3601;hvac
9257;hvac
2844;hvac
9337;hvac
3598;hvac
3602;hvac
2885;hvac
2886;hvac
11289;F1_pwr
6415;Osw_liczba_sum
6416;Osw_liczba_sum
6417;Osw_liczba_sum
7439;R1.1_pwr
7440;R1.1_pwr
7441;R1.1_pwr
3592;hvac
8973;to_fanlevel
8973;hvac
8993;to_fanlevel
8993;hvac
9013;to_fanlevel
9013;hvac
9033;to_fanlevel
9033;hvac
9053;to_fanlevel
9053;hvac
9229;to_fanlevel
9229;hvac
9249;to_fanlevel
9249;hvac
9269;to_fanlevel
9269;hvac
9309;to_fanlevel
9309;hvac
9329;to_fanlevel
9329;hvac
9369;to_fanlevel
9369;hvac
8716;to_setpoint
8716;hvac_com
8972;to_setpoint
8972;hvac_com
8992;to_setpoint
8992;hvac_com
9012;to_setpoint
9012;hvac_com
9032;to_setpoint
9032;hvac_com
9052;to_setpoint
9052;hvac_com
9228;to_setpoint
9228;hvac_com
9248;to_setpoint
9248;hvac_com
9268;to_setpoint
9268;hvac_com
9308;to_setpoint
9308;hvac_com
9328;to_setpoint
9328;hvac_com
9348;to_setpoint
9348;hvac_com
9368;to_setpoint
9368;hvac_com
9388;to_setpoint
9388;hvac_com
10820;to_setpoint
10820;hvac_com
10838;to_setpoint
10838;hvac_com
8968;hvac_com
8988;hvac_com
9008;hvac_com
9028;hvac_com
9048;hvac_com
9264;hvac_com
9324;hvac_com
9384;hvac_com
9364;hvac_com
9304;hvac_com
9244;hvac_com
9224;hvac_com
9389;to_fanlevel
9389;hvac
9349;to_fanlevel
9349;hvac
9344;hvac_com
4896;voltage_monitor
4897;voltage_monitor
4898;voltage_monitor
4899;voltage_monitor
4900;voltage_monitor
4901;voltage_monitor
4902;voltage_monitor
14553;Jadalnia_Rnp_Kuchnia_ms_or
3588;hvac
65822;magistrala_knx
65823;magistrala_knx
65824;magistrala_knx
65825;magistrala_knx
14432;Kuchnia_rolety_naOknach_avg
14482;Jadalnia_Rn_przyKuchni_avg
14492;Jadalnia_Rn_przyKuchni_avg
14493;Jadalnia_Rnp_Kuchnia_ms_or
14483;Jadalnia_Rnp_Kuchnia_ms_or
4895;voltage_monitor
2919;hvac
2919;hvac_mode
2921;hvac
2921;hvac_mode
2923;hvac
2923;hvac_mode
2925;hvac
2925;hvac_mode
2927;hvac
2927;hvac_mode
2931;hvac
2931;hvac_mode
2933;hvac
2933;hvac_mode
2935;hvac
2935;hvac_mode
2937;hvac
2937;hvac_mode
2939;hvac
2939;hvac_mode
2941;hvac
2941;hvac_mode
2943;hvac
2943;hvac_mode
2949;hvac
2949;hvac_mode
2951;hvac
2951;hvac_mode
2954;hvac
2954;hvac_mode
8706;hvac
8706;hvac_setpoint
8963;hvac
8963;hvac_setpoint
8983;hvac
8983;hvac_setpoint
9003;hvac
9003;hvac_setpoint
9023;hvac
9023;hvac_setpoint
9043;hvac
9043;hvac_setpoint
9219;hvac
9219;hvac_setpoint
9239;hvac
9239;hvac_setpoint
9259;hvac
9259;hvac_setpoint
9299;hvac
