id;address;datahex;updatetime;name;units;datatype;comment;disablelog;highpriolog;tagcache;export;pollinterval;visparams;enums;covincr;extid;readoninit
9363;9363;;1455714980;Gościnny z aneksem_Request fan speed level manual;;1;ETS import;1;0;;0;;;{"0":"auto","1":"manual","default":""};;;
9364;9364;02;1575279702;Gościnny z aneksem_F_Request fan speed level;;5;ETS import;1;0;hvac_com;0;;{"control":"vselect","icons":"1"};{"0":"wył","1":"zawór","2":"1 bieg","3":"2 bieg","4":"3 bieg","5":"4 bieg","6":"auto","default":""};;;
9365;9365;00;1592859231;Gościnny z aneksem_F_Confirm fan speed level;;5;ETS import;1;0;;0;;;{"0":"wył","1":"zawór","2":"1 bieg","3":"2 bieg","4":"3 bieg","5":"4 bieg","6":"auto","default":""};;;
9366;9366;41;1592776898;Gościnny z aneksem_Controller status HVAC;;5;ETS import;1;0;;0;;;;;;
9367;9367;0C7E;1583838999;Gościnny z aneksem_F_New setpoint;°C;9001;;1;0;hvac_com, to_delta_setpoint;0;;{"max":"35","step":"0.5","control":"spinner","min":"7","decimals":"1"};;;;
9368;9368;01;1583838999;Gościnny z aneksem_F_Change setpoint;;1001;;1;0;to_setpoint, hvac_com;0;;;;;;
9369;9369;00;1592859231;Gościnny z aneksem_F_Fan coil step;;5;;1;0;to_fanlevel, hvac;0;;;;;;
9376;9376;00;1592776899;Muzyczny_Fault actual temperature;;1;ETS import;1;1;;0;;;{"0":"normal","1":"fault","default":""};;;
9377;9377;01;1592776899;Muzyczny_F_Fan coil manual;;1;ETS import;1;0;hvac;0;;;{"0":"auto","1":"manual","default":""};;;
9378;9378;01;1572265657;Muzyczny_On/off request;;1001;ETS import;1;0;;0;;;;;;
9379;9379;076C;1592776899;Muzyczny_F_Setpoint display;°C;9;ETS import;1;0;hvac, hvac_setpoint;0;;{"max":"670760","step":"","control":"spinner","min":"-670760","decimals":"1"};;;;
9380;9380;01;1586079071;Muzyczny_F_Request setpoint;;5;ETS import;0;0;;0;;;;;;0
9381;9381;FA;1592776899;Muzyczny_Confirm setpoint;;5;ETS import;1;0;;0;;;;;;
9382;9382;;1455714980;Muzyczny_Heating/cooling request;;1;ETS import;1;0;;0;;;;;;
9383;9383;;1455714980;Muzyczny_Request fan speed level manual;;1;ETS import;1;0;;0;;;{"0":"auto","1":"manual","default":""};;;
9384;9384;02;1575279695;Muzyczny_F_Request fan speed level;;5;ETS import;1;0;hvac_com;0;;{"control":"vselect","icons":"1"};{"0":"wył","1":"zawór","2":"1 bieg","3":"2 bieg","4":"3 bieg","5":"4 bieg","6":"auto","default":""};;;
9385;9385;02;1592776899;Muzyczny_F_Confirm fan speed level;;5;ETS import;1;0;;0;;;{"0":"wył","1":"zawór","2":"1 bieg","3":"2 bieg","4":"3 bieg","5":"4 bieg","6":"auto","default":""};;;
9386;9386;01;1592776899;Muzyczny_Controller status HVAC;;5;ETS import;1;0;;0;;;;;;
9387;9387;0C1A;1542783227;Muzyczny_F_New setpoint;°C;9001;;1;0;hvac_com, to_delta_setpoint;0;;{"max":"35","step":"0.5","control":"spinner","min":"7","decimals":"1"};;;;
9388;9388;01;1516100347;Muzyczny_F_Change setpoint;;1001;;1;0;to_setpoint, hvac_com;0;;;;;;
9389;9389;02;1592041167;Muzyczny_F_Fan coil step;;5;;1;0;to_fanlevel, hvac;0;;;;;;
10497;10497;01;1592080381;;;1;;1;0;;0;;;;;;
10520;10520;00;1592821998;;;1;;1;0;;0;;;;;;
10819;10819;0CE2;1582985440;Łazienka dla Gości_P_New setpoint;°C;9;ETS import;1;0;hvac_com, to_delta_setpoint;0;;{"max":"35","size":"200","control":"circularslider","min":"7","decimals":"1","linewidth":"15","step":"0.5","bgcolor":"#EEEEEE","fgcolor":"#51A3CC"};;;;
10820;10820;00;1582985440;Łazienka dla Gości_P_Change setpoint;;1001;;1;0;to_setpoint, hvac_com;0;;;;;;
10823;10823;05DC;1592859463;Łazienka dla Gości_P_Setpoint display;°C;9;ETS import;1;0;hvac, hvac_setpoint;0;;{"max":"35","size":"200","control":"circularslider","min":"-40","decimals":"1","linewidth":"15","step":"0.5","bgcolor":"#EEEEEE","fgcolor":"#51A3CC"};;;;
10837;10837;0CE2;1585205256;Łazienka w Gościnnym_P_New setpoint;°C;9;ETS import;1;0;hvac_com, to_delta_setpoint;0;;{"max":"35","size":"200","control":"circularslider","min":"7","decimals":"1","linewidth":"15","step":"0.5","bgcolor":"#EEEEEE","fgcolor":"#51A3CC"};;;;
10838;10838;01;1582986067;Łazienka w Gościnnym_P_Change setpoint;;1001;;1;0;to_setpoint, hvac_com;0;;;;;;
10841;10841;0708;1592859346;Łazienka w Gościnnym_P_Setpoint display;°C;9;ETS import;1;0;hvac, hvac_setpoint;0;;{"max":"35","step":"0.5","control":"spinner","min":"-40","decimals":"1"};;;;0
11008;11008;00;1592777101;ARR_R/W_tryb;;1001;;1;0;ARR, read-flag;0;;;{"0":"słońce","1":"harmonogram","default":""};;;
11009;11009;0032;1592777101;ARR_R/W_pauza;s;9;Pauza pomiędzy kolejnymi przejazdami rolet podczas sceny rano i wieczór;1;0;ARR, read-flag;0;;;;;;0
11010;11010;F8;1592777102;ARR_R/W_wschod;°;6;;0;0;ARR, read-flag;0;;;;;;
11011;11011;F8;1592777102;ARR_R/W_zachod;°;6;;0;0;ARR, read-flag;0;;;;;;
11012;11012;00;1592856058;ARR_R/W_Słońce_dzień/noc;;1001;;0;0;ARR, read-flag;0;;;{"0":"noc","1":"dzień","default":""};;;0
11013;11013;00;1592841661;ARR_R/W_Harmonogram_dzień/noc;;1001;;1;0;ARR, read-flag;0;;;{"0":"noc","1":"dzień","default":""};;;
11014;11014;01;1592777103;ARR_R/W_enable;;1001;;1;0;ARR, read-flag;0;;;{"0":"zablokowany","1":"odblokowany","default":""};;;
11015;11015;01;1592777103;ARR_C/O_enable;;1003;;0;0;ARR, read-flag;0;;;;;;0
11016;11016;01;1592777104;ARR_R/W_wschód plus/minus;;1001;;1;0;ARR, read-flag;0;;;;;;
11017;11017;00;1592777104;ARR_R/W_zachód plus/minus;;1001;;1;0;ARR, read-flag;0;;;;;;
11018;11018;01;1592777104;ARR_R/W_Gabinet_Sz_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11019;11019;01;1592777104;ARR_R/W_Salon_G_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11020;11020;01;1592777105;ARR_R/W_Salon_L_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11021;11021;01;1592777105;ARR_R/W_Salon_R_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11022;11022;01;1592777105;ARR_R/W_Salon_D_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11023;11023;01;1592777106;ARR_R/W_Jadalnia_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11024;11024;00;1592777106;ARR_R/W_Sypialnia_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11025;11025;01;1592777106;ARR_R/W_Gabinet_P_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11026;11026;00;1592777107;ARR_R/W_Goscinny_a_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11027;11027;00;1592777107;ARR_R/W_Goscinny_1_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11028;11028;01;1592777107;ARR_R/W_Kuchnia_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
